Municipio,CIRO_GOMES,LULA,PADRE_KELMON,SIMONE_TEBET,VERA,SOFIA_MANZANO,JAIR_BOLSONARO,EYMAEL,FELIPE_DAVILA,SORAYA,LEO_PERICLES,Votos_Candidatos_Concorrentes_(B),%12/B,%13/B,%14/B,%15/B,%16/B,%21/B,%22/B,%27/B,%30/B,%44/B,%80/B,,,,,,,,,,,,Candidato_Mais_Votado
Abaiara,183,4870,4,29,2,3,594,0,1,6,1,5693,3,21,85,54,0,7,0,51,0,4,0,5,10,43,0,0,0,2,0,11,0,2,13 LULA
Acarape,338,5996,1,107,0,1,3125,1,11,64,0,9644,3,50,62,17,0,1,1,11,0,0,0,1,32,40,0,1,0,11,0,66,0,0,13 LULA
Acaraú,2093,24551,16,198,4,13,8288,1,20,161,3,35348,5,92,69,46,0,5,0,56,0,1,0,4,23,45,0,0,0,6,0,46,0,1,13 LULA
Acopiara,1792,23642,12,222,3,8,3950,2,8,122,5,29766,6,2,79,43,0,4,0,75,0,1,0,3,13,27,0,1,0,3,0,41,0,2,13 LULA
Aiuaba,427,7010,6,45,4,3,824,0,3,25,1,8348,5,11,83,97,0,7,0,54,0,5,0,4,9,87,0,0,0,4,0,30,0,1,13 LULA
Alcântaras,738,5755,1,33,1,2,803,0,2,17,0,7352,10,4,78,28,0,1,0,45,0,1,0,3,10,92,0,0,0,3,0,23,0,0,13 LULA
Altaneira,318,4283,5,24,0,1,350,0,3,7,0,4991,6,37,85,81,0,10,0,48,0,0,0,2,7,1,0,0,0,6,0,14,0,0,13 LULA
Alto Santo,388,7772,1,31,0,0,1502,0,5,17,0,9716,3,99,79,99,0,1,0,32,0,0,0,0,15,46,0,0,0,5,0,17,0,0,13 LULA
Amontada,1231,19707,16,191,5,4,5010,2,18,93,1,26278,4,68,74,99,0,6,0,73,0,2,0,2,19,7,0,1,0,7,0,35,0,0,13 LULA
Antonina do Norte,312,4157,1,24,1,5,534,0,3,16,0,5053,6,17,82,27,0,2,0,47,0,2,0,10,10,57,0,0,0,6,0,32,0,0,13 LULA
Apuiarés,555,7592,3,84,1,0,1733,0,8,22,3,10001,5,55,75,91,0,3,0,84,0,1,0,0,17,33,0,0,0,8,0,22,0,3,13 LULA
Aquiraz,2605,31902,23,761,5,9,15296,1,57,279,3,50941,5,11,62,63,0,5,1,49,0,1,0,2,30,3,0,0,0,11,0,55,0,1,13 LULA
Aracati,2586,30215,25,499,5,10,11451,3,44,183,6,45027,5,74,67,10,0,6,1,11,0,1,0,2,25,43,0,1,0,10,0,41,0,1,13 LULA
Aracoiaba,820,14809,3,199,2,1,4122,0,12,89,2,20059,4,9,73,83,0,1,0,99,0,1,0,0,20,55,0,0,0,6,0,44,0,1,13 LULA
Ararendá,295,5441,4,54,0,1,1349,0,3,32,0,7179,4,11,75,79,0,6,0,75,0,0,0,1,18,79,0,0,0,4,0,45,0,0,13 LULA
Araripe,592,11229,5,61,0,1,866,0,1,22,1,12778,4,63,87,88,0,4,0,48,0,0,0,1,6,78,0,0,0,1,0,17,0,1,13 LULA
Aratuba,542,7041,3,70,0,2,1660,1,6,37,2,9364,5,79,75,19,0,3,0,75,0,0,0,2,17,73,0,1,0,6,0,40,0,2,13 LULA
